game,2023-07-07 14:00:00,2023-07-07 19:00:00,2023-07-07 21:00:00,2023-07-08 08:00:00,2023-07-08 10:00:00,2023-07-08 12:00:00,2023-07-14 14:00:00,2023-07-15 13:00:00,2023-07-16 09:00:00,2023-07-16 12:00:00,2023-07-16 21:00:00,2023-07-21 12:00:00,2023-07-21 15:00:00,2023-07-21 18:00:00,2023-07-21 21:00:00,2023-07-22 09:00:00,2023-07-22 12:00:00,2023-07-22 15:00:00,2023-07-22 21:00:00,2023-07-23 12:00:00,2023-07-23 15:00:00,2023-07-23 18:00:00,2023-07-23 21:00:00,2023-07-24 09:00:00,2023-07-24 12:00:00,2023-07-24 15:00:00,2023-07-24 18:00:00,2023-07-24 21:00:00
Dota 2,163402.0,54870.0,34268.0,150362.0,115096.0,202343.0,32004.0,38635.0,16500.0,39014.0,35964.0,151893.0,180063.0,167722.0,146448.0,25482.0,144962.0,141288.0,126779.0,160201.0,168869.0,198651.0,152951.0,23845.0,174067.0,182000.0,180863.0,41428.0
League of Legends,146502.0,143937.0,142992.0,109334.0,90874.0,127759.0,168989.0,135861.0,137180.0,150405.0,404606.0,144944.0,219061.0,171457.0,180296.0,112228.0,185876.0,177256.0,367041.0,171642.0,151732.0,212009.0,363039.0,71518.0,134860.0,220461.0,238605.0,347630.0
VALORANT,145644.0,176350.0,119688.0,71200.0,80706.0,130543.0,150752.0,218175.0,113082.0,235007.0,98853.0,127192.0,127455.0,230005.0,204178.0,69482.0,105160.0,86109.0,107719.0,228178.0,131895.0,163440.0,123092.0,53610.0,55951.0,83414.0,126790.0,125383.0
Street Fighter 6,86360.0,18059.0,22165.0,55703.0,54920.0,50475.0,48483.0,20257.0,19621.0,23725.0,15232.0,13438.0,11202.0,17687.0,12570.0,7983.0,15686.0,19657.0,10901.0,8840.0,17995.0,17639.0,8083.0,21392.0,28265.0,26585.0,27503.0,17223.0
Grand Theft Auto V,70179.0,116121.0,152198.0,62152.0,45639.0,40599.0,60566.0,44388.0,46272.0,43518.0,183047.0,184829.0,308918.0,376441.0,314226.0,166542.0,188497.0,252437.0,349316.0,171400.0,251412.0,325251.0,331761.0,117912.0,175031.0,316555.0,366056.0,375235.0
Teamfight Tactics,53732.0,56132.0,39260.0,43800.0,53541.0,53857.0,53586.0,61248.0,36527.0,44532.0,77264.0,45122.0,76944.0,81609.0,63145.0,53015.0,47843.0,72219.0,50639.0,52668.0,66718.0,84724.0,60142.0,60940.0,49435.0,52614.0,54051.0,74018.0
Counter-Strike: Global Offensive,48897.0,95502.0,297448.0,20508.0,15919.0,21412.0,127529.0,99268.0,16845.0,23953.0,247774.0,27535.0,63987.0,150729.0,178241.0,28456.0,28581.0,65572.0,188372.0,20601.0,79204.0,232694.0,75123.0,17960.0,31686.0,35424.0,62343.0,127121.0
Only Up!,35287.0,82488.0,17554.0,16924.0,20599.0,10974.0,8266.0,16744.0,7313.0,4209.0,18640.0,,3893.0,,9150.0,,,,,,16265.0,,,,,,,
Fortnite,28379.0,107172.0,139973.0,59899.0,48075.0,29061.0,29748.0,26351.0,29208.0,24465.0,45353.0,27811.0,31857.0,51129.0,120158.0,28333.0,27569.0,30235.0,100347.0,26704.0,42445.0,80535.0,50213.0,25181.0,27506.0,33729.0,44405.0,111170.0
Apex Legends,26298.0,35604.0,12217.0,28497.0,21853.0,22162.0,176866.0,167560.0,27195.0,28477.0,437041.0,26105.0,34482.0,40424.0,50181.0,49980.0,54172.0,44113.0,82711.0,34848.0,61748.0,39911.0,78322.0,20144.0,21584.0,27988.0,39956.0,41882.0
Minecraft,25243.0,64592.0,70334.0,18090.0,15972.0,21819.0,15775.0,28895.0,17838.0,29897.0,120903.0,15999.0,31022.0,43181.0,73662.0,19124.0,26175.0,34594.0,65587.0,14387.0,34781.0,30315.0,67669.0,8907.0,9962.0,17048.0,42610.0,86183.0
MapleStory,25181.0,62697.0,48865.0,10512.0,12116.0,10080.0,18479.0,25069.0,20424.0,31729.0,10434.0,6909.0,10927.0,6003.0,,6921.0,5322.0,9001.0,,34390.0,31538.0,7765.0,,14642.0,4653.0,13135.0,28467.0,
World of Warcraft,23141.0,42648.0,59196.0,11366.0,11184.0,15656.0,32052.0,25382.0,17399.0,27180.0,45076.0,14846.0,24186.0,32590.0,49728.0,11487.0,15798.0,23944.0,53714.0,18708.0,26434.0,33699.0,66493.0,13091.0,16648.0,26004.0,34822.0,36783.0
